street_number,street_name,zip_code,latitude,longitude,people_count
349,HAYDENVILLE RD,01053,42.361277994868,-72.690158799612,24
50,VILLAGE HILL RD,01060,42.312501395267,-72.648591265384,53
56,DAY AVE,01060,42.330408199844,-72.626133548387,1
74,FORBES AVE,01060,42.321549743564,-72.649305487354,1
56,MAPLE ST,01062,42.333968958042,-72.672536434919,43
5,ASPEN LN,01060,42.339555789875,-72.652218031069,2
73,VILLAGE HILL RD,01060,42.313581110124,-72.647953067277,11
1228,FLORENCE RD,01062,42.290751865269,-72.671744680345,1
142,DEERFIELD DR,01062,42.31448178753,-72.692453094149,2
25,COLES MEADOW RD B,01060,42.355962191874,-72.640937498138,22
78,STRAW AVE,010621444,42.337189830065,-72.66323461787,3
183,GLENDALE RD,01062,42.292237683335,-72.716929089612,1
37,COLES MEADOW RD,01060,42.355962191874,-72.640937498138,40
63,LAUREL PARK,01060,42.359857052732,-72.640420083255,3
80,FLORENCE RD,01062,42.327460116859,-72.677259050625,3
107,CHESTERFIELD RD,01053,42.342553870912,-72.698490998102,2
65,BARRETT ST,01060,42.333914266123,-72.638841184154,2
548,ELM ST,01060,42.327171905119,-72.658103468203,24
524,PARK HILL RD,010629711,42.29084528158,-72.694088068183,3
23,DUNPHY DR,01062,42.302082354344,-72.675210094394,3
422,NORTH FARMS RD,01062,42.362020924856,-72.676319774555,2
76,COOKE AVE,01060,42.340380066233,-72.644777080344,1
12,HENRY ST,01060,42.314205436182,-72.621717877976,2
50,VILLAGE HILL RD,010603672,42.312501395267,-72.648591265384,2
23,RANDOLPH PL,01060,42.316940618827,-72.628205135757,38
63,GOLDENCHAIN LN,01060,42.340620459216,-72.64996111982,1
9,STOWELL ST,01053,42.350701416075,-72.690982405418,3
25,COLES MEADOW RD,010601154,42.355962191874,-72.640937498138,34
326,BURTS PIT RD,01062,42.314618328733,-72.663158342551,2
575,BRIDGE RD,01062,42.338658046135,-72.65842139379,62
20,BRIDGE RD,01062,42.346855254074,-72.681386048292,52
40,ORCHARD ST,01060,42.32748346046,-72.627821915144,3
771,BRIDGE RD,01060,42.33809838646,-72.646075269508,5
88,BANCROFT RD,01060,42.325322983007,-72.640815960542,2
18,COLUMBUS AVE,010604224,42.31133501153,-72.634067019743,1
602,NORTH FARMS RD,01062,42.368338868193,-72.671972835749,1
186,BROOKSIDE CIR,01062,42.313487190899,-72.693196820418,3
180,NONOTUCK ST,01062,42.330737608639,-72.670011638044,2
18,VERNON ST,01060,42.323589731159,-72.649106668611,1
2,POMEROY TER,01060,42.323148884961,-72.624633858271,10
345,HAYDENVILLE RD,01053,42.360210014675,-72.691121964106,25
6,ALLISON ST,010601615,42.33721539487,-72.647427019033,2
1397,RYAN RD,01062,42.310722378227,-72.709379006508,1
114,HAWLEY ST,01060,42.317900849654,-72.624312579923,5
169,PROSPECT ST,01060,42.326563378948,-72.63772823505,3
347,BRIDGE RD,01062,42.343189386811,-72.665975835484,3
15,BUTTERNUT LN,01060,42.338945419685,-72.651246065577,1
71,STATE ST,01060,42.320812848546,-72.633821932894,67
339,BRIDGE RD,01062,42.343315324906,-72.66626794481,4
20,WASHINGTON AVE,01060,42.321858993881,-72.646077029708,2
6,PINE VALLEY RD,01062,42.312825523463,-72.707693070503,3
414,COLES MEADOW RD,01060,42.367103752851,-72.646961907226,1
50,HASTINGS HTS,010621003,42.345479322758,-72.673005234763,4
3,FERRY AVE,01060,42.292326782966,-72.627165109211,1
26,CRESCENT ST,01060,42.323746388929,-72.638309268578,23
137,EMERSON WAY,01062,42.310063309181,-72.680500500221,2
154,CRESCENT ST,01060,42.326446241851,-72.640912939161,2
45,VERNON ST,010602845,42.322756653802,-72.650486246054,5
92,TURKEY HILL RD,01062,42.308519320706,-72.71885801699,2
972,FLORENCE RD,01062,42.299336442863,-72.672987548948,1
34,COOKE AVE,01060,42.339425577009,-72.64331536025,1
56,MAPLE ST,010621225,42.333968958042,-72.672536434919,1
137,HIGH ST,01062,42.337510060676,-72.671742584869,55
24,NONOTUCK ST,01062,42.328837892194,-72.661682540859,1
215,SOUTH ST,01060,42.310822458151,-72.637218782975,32
56,LONGFELLOW DR,01062,42.297441168827,-72.68293401817,2
38,KIMBALL ST,01062,42.343087001863,-72.669792451276,2
280,CRESCENT ST,01060,42.322587506996,-72.642356470526,1
42,DOGWOOD LN,01060,42.340983269895,-72.651232235437,2
4,FERRY AVE,01060,42.292514998602,-72.626854727337,1
96,MAYNARD RD,01060,42.320689215474,-72.649222841789,1
25,TYLER CT,01060,42.321965234504,-72.637358090206,2
201,WARNER ST,01062,42.325225543382,-72.666245146033,1
96,HOCKANUM RD,01060,42.312841449079,-72.621366173318,2
35,FRUIT ST,01060,42.31362389974,-72.630158789749,51
215,MAIN ST N,01060,42.341036095399,-72.678353921256,1
64,GOTHIC ST,01060,42.321106089429,-72.633034453091,5
8,PINE VALLEY RD,01062,42.311461033445,-72.706925958724,1
239,RYAN RD,01062,42.324497155996,-72.686633538775,3
74,BRIDGE ST,01060,42.322463161462,-72.626287523949,5
345,HAYDENVILLE RD,010539790,42.360210014675,-72.691121964106,1
69,DREWSEN DR,01062,42.311081249412,-72.700052379025,4
48,FIRETHORN LN,01060,42.340368834483,-72.650354231079,1
147,ROUND HILL RD,01060,42.325708215277,-72.639751710296,2
134,CRESCENT ST,01060,42.326484128054,-72.639601422772,2
455,SPRING ST,01053,42.343903818328,-72.694671616282,86
83,LAUREL PARK,010601196,42.35864440089,-72.641727324874,2
10,BUTTERNUT LN,01060,42.339319168748,-72.650904503023,1
39,DOGWOOD LN,01060,42.341228105287,-72.651918294212,2
531,WESTHAMPTON RD,01062,42.301861491195,-72.697536466968,2
26,CRESCENT ST,010602100,42.323746388929,-72.638309268578,3
110,HILLCREST DR,01062,42.342577843155,-72.669235557629,2
33,LIBERTY ST,01062,42.322445391827,-72.663989324432,4
155,ROUND HILL RD,01060,42.325708215277,-72.639751710296,3
316,HATFIELD ST,01060,42.341450393359,-72.644991908523,3
80,DAMON RD,01060,42.33981068355,-72.63485852286,228
49,OLD SOUTH ST,01060,42.315843427701,-72.632050920572,54
