FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
0,ZXR20161025135714,Stump,Stump,30.000000000000000,Borderline,59.000000000000000,SHERMAN AVE,SHERMAN AVE,107236.060998999990000,898537.928504999960000,42.331823702900003,-72.625586956399999
1,ZXR20161025085923,Stump,Stump,51.000000000000000,Street,40.000000000000000,BRADFORD ST,BRADFORD ST,106762.494926000000000,898367.852250000000000,42.330236265000003,-72.631305110800000
2,CXK20161019082420,Stump,Stump,23.000000000000000,Street,121.000000000000000,WILLOW ST,WILLOW ST,103338.265099000000000,897858.134426999950000,42.325231415099999,-72.672763117499997
3,CXK20161017152614,Stump,Stump,65.000000000000000,Street,109.000000000000000,MILTON ST,MILTON ST,104800.491072000000000,897613.761923999990000,42.323211191799999,-72.654984480200000
4,ZXR20161007110339,Stump,Stump,15.000000000000000,Street,137.000000000000000,ELM ST,ELM ST,105954.164878000000000,897323.558257999950000,42.320738547700003,-72.640942405399997
5,CXK20161013081212,Stump,Stump,21.000000000000000,Borderline,69.000000000000000,NORTH MAPLE ST,SHEFFIELD LN,103475.348746000000000,899374.764077999980000,42.338901054499999,-72.671352816400002
6,CXK20161109121855,Stump,Stump,38.000000000000000,Street,206.000000000000000,GLENDALE RD,GLENDALE RD,99698.845387599999000,894140.760621999970000,42.291308773300003,-72.716269969699994
7,JXS20161111145434,Stump,Stump,36.000000000000000,Street,685.000000000000000,RYAN RD,RYAN RD,101081.051595000000000,896618.313674999980000,42.313787926899998,-72.699933929799997
8,CXK20161013094357,Stump,Stump,30.000000000000000,Street,97.000000000000000,HILLCREST DR,HILLCREST DR,103673.644674000000000,899706.615054000050000,42.341912859099999,-72.669001932100002
9,JXS20161111150443,Stump,Stump,60.000000000000000,Borderline,785.000000000000000,RYAN RD,RYAN RD,100801.929896999990000,896380.319626000010000,42.311610109699998,-72.703278636099995
10,CXK20161021111241,Stump,Stump,11.000000000000000,Street,163.000000000000000,NORTH MAPLE ST,NORTH MAPLE ST,103465.398503000000000,899817.534299000050000,42.342885629100003,-72.671547345899995
11,CXK20161017105141,Stump,Stump,27.000000000000000,Borderline,216.000000000000000,FEDERAL ST,FEDERAL ST,104433.775964999990000,898161.698348999950000,42.328098935699998,-72.659523377499994
12,CXK20161017134316,Stump,Stump,63.000000000000000,Borderline,60.000000000000000,FEDERAL ST,FEDERAL ST,104900.034090999990000,897404.013608000010000,42.321335158799997,-72.653742527899993
13,CXK20161019151534,Stump,Stump,7.000000000000000,Street,76.000000000000000,MAPLE ST,MAPLE ST,103409.965257000000000,898955.197733000040000,42.335116041399999,-72.672076202900001
14,CXK20161114100806,Stump,Stump,23.000000000000000,Borderline,83.000000000000000,SYLVESTER RD,SYLVESTER RD,99738.829952200002000,896450.735565999990000,42.312108254000002,-72.716184542700006
15,CXK20161012082911,Stump,Stump,13.000000000000000,Borderline,6.000000000000000,HATFIELD ST,HATFIELD ST,104714.229840000000000,898706.708244999990000,42.333039394300002,-72.656210625699998
16,JXS20161110090436,Stump,Stump,15.000000000000000,Street,592.000000000000000,SPRING ST,SPRING ST,101242.580590000000000,900066.875346999960000,42.344852162499997,-72.698562550199995
17,JXS20161027080828,Stump,Stump,8.000000000000000,Park/Public Space,99999.000000000000000,N/A,N/A,103537.752331000000000,900363.942730000010000,42.347813321200000,-72.670760381199997
18,JXS20161028141507,Stump,Stump,6.000000000000000,Street,125.000000000000000,PLEASANT ST,RAILRD AVE,107112.139924000000000,896994.048249999990000,42.317910859800001,-72.626842955399994
19,JXS20161027093709,Stump,Stump,6.000000000000000,Park/Public Space,99999.000000000000000,N/A,N/A,103563.430009000000000,900146.207906999970000,42.345856453300001,-72.670412511400002
20,JXS20161101134144,Stump,Stump,6.000000000000000,Park/Public Space,99999.000000000000000,N/A,N/A,104908.246778999990000,896134.904978999980000,42.309911584799998,-72.653434712099994
21,JXS20161111145242,Stump,Stump,24.000000000000000,Street,685.000000000000000,RYAN RD,RYAN RD,101102.760379000000000,896652.379671999950000,42.314097337400000,-72.699676438400004
22,CXK20161020093812,Stump,Stump,37.000000000000000,Street,48.000000000000000,MEADOW ST,MEADOW ST,103097.299333000000000,898897.465494000000000,42.334557595699998,-72.675860125000000
23,CXK20161020133329,Stump,Stump,44.000000000000000,Borderline,111.000000000000000,OAK ST,OAK ST,103191.291807000000000,899771.631896000010000,42.342438475800002,-72.674865821699996
