FID,UNIQUEID,SPP_COM,SPP_BOT,DBH,LOCATION,ADDRESS,STREET,ONSTR,X,Y,LATITUDE,LONGITUDE
0,ZXR20161021150103,Vacant site small,Vacant site small,0.000000000000000,Street,30.000000000000000,ORCHARD ST,ORCHARD ST,107114.723151000000000,898022.193723000000000,42.327166604799999,-72.626976407200004
1,ZXR20161025143752,Vacant site small,Vacant site small,0.000000000000000,Street,37.000000000000000,COOLIDGE AVE,COOLIDGE AVE,107349.874565000010000,898571.643465999980000,42.332140719700000,-72.624211507300004
2,ZXR20161024093523,Vacant site large,Vacant site large,0.000000000000000,Street,47.000000000000000,LINCOLN AVE,LINCOLN AVE,107176.359830000000000,898259.312263999950000,42.329308489200002,-72.626266642499999
3,ZXR20161021135255,Vacant site small,Vacant site small,0.000000000000000,Street,74.000000000000000,BRIDGE ST,BRIDGE ST,107168.746740000000000,897481.073911000040000,42.322301832100003,-72.626234332099997
4,ZXR20161021135331,Vacant site small,Vacant site small,0.000000000000000,Street,66.000000000000000,BRIDGE ST,BRIDGE ST,107156.483491000010000,897468.625049000020000,42.322188308699999,-72.626381099000000
5,ZXR20161021151522,Vacant site small,Vacant site small,0.000000000000000,Street,156.000000000000000,BRIDGE ST,BRIDGE ST,107253.188510000010000,897825.476557999970000,42.325412201799999,-72.625265117500007
6,ZXR20161021144126,Vacant site small,Vacant site small,0.000000000000000,Street,156.000000000000000,BRIDGE ST,NORTH ST,106928.794433000000000,898078.215236000020000,42.327648775900002,-72.629241013900000
7,ZXR20161024081103,Vacant site medium,Vacant site medium,0.000000000000000,Street,60.000000000000000,ELIZABETH ST,ELIZABETH ST,107059.562904000010000,898179.732395999950000,42.328578214099998,-72.627670856899996
8,ZXR20161024100408,Vacant site small,Vacant site small,0.000000000000000,Street,34.000000000000000,DAY AVE,DAY AVE,107254.388593000000000,898340.830235000000000,42.330051590300002,-72.625333046600005
9,ZXR20161021145404,Vacant site small,Vacant site small,0.000000000000000,Street,156.000000000000000,BRIDGE ST,ORCHARD ST,107028.385286000000000,898095.011648999990000,42.327811841699997,-72.628035505400007
10,ZXR20161021143524,Vacant site small,Vacant site small,0.000000000000000,Street,125.000000000000000,NORTH ST,PARSONS ST,106868.125713999990000,898006.248834999980000,42.326993696999999,-72.629965459900006
11,ZXR20161021084742,Vacant site small,Vacant site small,0.000000000000000,Street,65.000000000000000,KING ST,KING ST,106770.359988000000000,897333.729452000000000,42.320927970200003,-72.631043316299994
12,ZXR20161025103752,Vacant site small,Vacant site small,0.000000000000000,Street,174.000000000000000,NORTH ST,NORTH ST,106990.445710999990000,898157.733538000030000,42.328371949699999,-72.628505844900005
