Genus,Family
Abies,Pinaceae
Acer,Sapindaceae
Aesculus,Sapindaceae
Ailanthus,Simaroubaceae
Alnus,Betulaceae
Amelanchier,Rosaceae
Asimina,Annonaceae
Betula,Betulaceae
Carpinus,Betulaceae
Carya,Juglandaceae
Castanea,Fagaceae
Catalpa,Bignoniaceae
Celtis,Cannabaceae
Cercidiphyllum,Cercidiphyllaceae
Cercis,Fabaceae
Cladrastis,Fabaceae
Cornus,Cornaceae
Corylus,Betulaceae
Cotinus,Anacardiaceae
Crataegus,Rosaceae
Cupressus,Cupressaceae
Elaeagnus,Elaeagnaceae
Eucommia,Eucommiaceae
Fagus,Fagaceae
Fraxinus,Oleaceae
Ginkgo,Ginkgoaceae
Gleditsia,Fabaceae
Gymnocladus,Fabaceae
Halesia,Styracaceae
Hamamelis,Hamamelidaceae
Ilex,Aquifoliaceae
Juglans,Juglandaceae
Juniperus,Cupressaceae
Koelreuteria,Sapindaceae
Laburnum,Fabaceae
Larix,Pinaceae
Ligustrum,Oleaceae
Liquidambar,Altingiaceae
Liriodendron,Magnoliaceae
Maackia,Fabaceae
Magnolia,Magnoliaceae
Malus,Rosaceae
Metasequoia,Cupressaceae
Morus,Moraceae
Nyssa,Nyssaceae
Ostrya,Betulaceae
Oxydendrum,Ericaceae
Parrotia,Hamamelidaceae
Phellodendron,Rutaceae
Picea,Pinaceae
Pinus,Pinaceae
Platanus,Platanaceae
Populus,Salicaceae
Prunus,Rosaceae
Pseudotsuga,Pinaceae
Pyrus,Rosaceae
Quercus,Fagaceae
Rhamnus,Rhamnaceae
Rhus,Anacardiaceae
Robinia,Fabaceae
Salix,Salicaceae
Sassafras,Lauraceae
Sorbus,Rosaceae
Stewartia,Theaceae
Styphnolobium,Fabaceae
Syringa,Oleaceae
Taxodium,Cupressaceae
Taxus,Taxaceae
Thuja,Cupressaceae
Tilia,Malvaceae
Tsuga,Pinaceae
Ulmus,Ulmaceae
unknown,Unknown
Zelkova,Ulmaceae
