ident,y_proj,x_proj,Sector,Date of survey,Your name,Site ID,Number,Ownership,Under wire,Area,Rank,Street number,Street name,Street ext,Location,Comments,Street,Address,geom,ST_NUM,STREET_NAME
N1-1,896885.053,106729.158,N1,12/6/20,Sue&Molly,1,1,S,N,L,1,,Crafts&Old South,,,in mini-park,Crafts&Old South,Crafts&Old South,"c(106729.157955728, 896885.052978836)",30,CRAFTS AVE
N1-2,896917.1999,106776.6508,N1,12/6/20,Sue&Molly,2,2,S,Y,S,2,,Old South&Brewster,,S,,Old South&Brewster,Old South&Brewster,"c(106776.650759049, 896917.199918132)",1,BREWSTER CT
N1-10,897172.6556,107054.5961,N1,12/6/20,Sue&Molly,10,1,S,Y,S,2,,Bike path,,,parklet across bike path from train station,Bike Path,Bike Path,"c(107054.596106611, 897172.655637376)",160,PLEASANT ST
N2-1,897297.5546,106502.7775,N2,1/21/21,Molly,1,1,S,N,L,2,,State,St,F,Michael's House,State St,State St,"c(106502.777506314, 897297.55461964)",71,STATE ST
N2-2,897270.3025,106503.8358,N2,1/21/21,Molly,2,1,S,Y,M,2,,State,St,F/S,Michael's House,State St,State St,"c(106503.835841753, 897270.302481804)",71,STATE ST
N2-4,897248.6066,106506.4817,N2,1/21/21,Molly,4,1,S,Y,S,3,69 or 65,State,St,S,,State St,69 or 65 State St,"c(106506.481680386, 897248.606605075)",69,STATE ST
N2-15,897300.4474,106644.8987,N2,1/21/21,Molly,15,1+,S,N,L,1,,Gothic,St,N/A,James House parking lot.  Could accomodate 1+ large trees,Gothic St,Gothic St,"c(106644.89872805, 897300.447403204)",42,GOTHIC ST
N2-18,897242.5697,106709.391,N2,1/21/21,Molly,18,1,S,N,L,1,,Gothic,St,N/A,corner of Hotel Northampton lot,Gothic St,Gothic St,"c(106709.391044535, 897242.56968328)",36,KING ST
N2-22,897161.2101,106687.8936,N2,1/21/21,Molly,22,1,S,N,L,1!,,Center,St,F right,corner of police parking lot,Center St,Center St,"c(106687.893605702, 897161.210145563)",29,CENTER ST
N2-30,897212.4733,106490.7786,N2,1/21/21,Molly,30,1,S,N,L,1,60 or 62,State,St,F,At crosswalk.  Check property line,State St,60 or 62 State St,"c(106490.778628148, 897212.473268922)",60,STATE ST
N2-34,897180.0617,106560.8934,N2,1/21/21,Molly,34,1,S,N,L,2,,Center,St,N/A,State St. Fruit Store parking lot entrance,Center St,Center St,"c(106560.893351704, 897180.061745763)",49,STATE ST
N2-35,897186.67634233006,106546.0105,N2,1/21/21,Molly,35,4-Feb,S,N,M,2,,Center,St,N/A,Replace wood fence with trees?,Center St,Center St,"c(106546.010509446, 897186.676342327)",49,STATE ST
N1-20,896956.279,106830.6259,N1,1/5/21,Molly,20,1,S,N,L,2,15-17,Brewster,Ct,F,stump here now,Brewster Ct,15-17 Brewster Ct,"c(106830.625867009, 896956.278954621)",11,BREWSTER CT
N3-27,896579.5115,106947.5719,N3,1/5/21,Molly,27,1,S,X,M,2-Jan,59A,Conz,St,F,,Conz St,59A Conz St,"c(106947.571934223, 896579.511534423)",59,CONZ ST
N3-28,896575.3443,106955.5756,N3,1/5/21,Molly,28,1,S,N,L,1!,59A,Conz,St,S,,Conz St,59A Conz St,"c(106955.575596072, 896575.344338585)",59,CONZ ST
N3-26,896586.2584,106943.0079,N3,1/5/21,Molly,26,1,S,N,L,2-Jan,59B,Conz,St,F,,Conz St,59B Conz St,"c(106943.007862598, 896586.258422911)",59,CONZ ST
N3-23,896609.7402,106941.0235,N3,1/5/21,Molly,23,2,S,N,L,2-Jan,,Conz,St,F,Old WWII Club,Conz St,Conz St,"c(106941.023483627, 896609.740240712)",50,CONZ ST
N3-22,896620.6543,106925.1485,N3,1/5/21,Molly,22,1,S,N,L,2-Jan,,Conz,St,S,Old WWII Club,Conz St,Conz St,"c(106925.14845188, 896620.654325038)",50,CONZ ST
N3-18,896643.8054,106873.2239,N3,1/5/21,Molly,18,2,S,N,L,1,33-35,Conz,St,F,,Conz St,33-35 Conz St,"c(106873.223868862, 896643.805413011)",33,CONZ ST
N3-37,896702.3446,106598.0567,N3,1/5/21,Molly,37,2,S,N,S-M,2,5-Mar,Clark,St,F,,Clark St,3-5 Clark St,"c(106598.05665186, 896702.344592582)",3,CLARK ST
N3-13,896782.7119,106805.0935,N3,1/5/21,Molly,13,2,S,N,L,2,13-Nov,Maple,Ave,F,,Maple Ave,11-13 Maple Ave,"c(106805.09352427, 896782.711940818)",11,MAPLE AVE
N4-10,897072.3133,106403.9654,N4,3/11/21,Molly,10,1,S,N,S,2,,Elm,St,F,Stoddard Hall,Elm St,Elm St,"c(106403.965355545, 897072.313275062)",76,ELM ST
N4-11,897059.0841,106379.8221,N4,3/11/21,Molly,11,1,S,N,M,3,,Elm,St,F,"Art Museum, SE end",Elm St,Elm St,"c(106379.822078101, 897059.08408194)",76,ELM ST
