"STATION","NAME","DATE","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00190120","AMHERST, MA US","2012-01-01","38",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-01-02","51",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-01-03","43",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-01-04","24",",,7","8",",,7"
"USC00190120","AMHERST, MA US","2012-01-05","25",",,7","8",",,7"
"USC00190120","AMHERST, MA US","2012-01-06","36",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-01-07","49",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-01-08","55",",,7","22",",,7"
"USC00190120","AMHERST, MA US","2012-01-09","42",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-01-10","40",",,7","21",",,7"
"USC00190120","AMHERST, MA US","2012-01-11","44",",,7","22",",,7"
"USC00190120","AMHERST, MA US","2012-01-12","44",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-01-13","36",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-01-14","43",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-01-15","30",",,7","6",",,7"
"USC00190120","AMHERST, MA US","2012-01-16","16",",,7","3",",,7"
"USC00190120","AMHERST, MA US","2012-01-17","33",",,7","3",",,7"
"USC00190120","AMHERST, MA US","2012-01-18","46",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-01-19","41",",,7","11",",,7"
"USC00190120","AMHERST, MA US","2012-01-20","29",",,7","11",",,7"
"USC00190120","AMHERST, MA US","2012-01-21","27",",,7","12",",,7"
"USC00190120","AMHERST, MA US","2012-01-22","19",",,7","0",",,7"
"USC00190120","AMHERST, MA US","2012-01-23","29",",,7","2",",,7"
"USC00190120","AMHERST, MA US","2012-01-24","35",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-01-25","53",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-01-26","38",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-01-27","39",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-01-28","42",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-01-29","45",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-01-30","43",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-01-31","36",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-02-01","47",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-02-02","60",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-02-03","42",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-02-04","40",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-02-05","42",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-02-06","37",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-02-07","53",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-02-08","45",",,7","18",",,7"
"USC00190120","AMHERST, MA US","2012-02-09","36",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-02-10","46",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-02-11","48",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-02-12","41",",,7","14",",,7"
"USC00190120","AMHERST, MA US","2012-02-13","26",",,7","14",",,7"
"USC00190120","AMHERST, MA US","2012-02-14","40",",,7","20",",,7"
"USC00190120","AMHERST, MA US","2012-02-15","42",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-02-16","48",",,7","21",",,7"
"USC00190120","AMHERST, MA US","2012-02-17","42",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-02-18","50",",,7","27",",,7"
"USC00190120","AMHERST, MA US","2012-02-19","45",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-02-20","44",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-02-21","41",",,7","16",",,7"
"USC00190120","AMHERST, MA US","2012-02-22","42",",,7","17",",,7"
"USC00190120","AMHERST, MA US","2012-02-23","57",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-02-24","51",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-02-25","39",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-02-26","41",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-02-27","40",",,7","18",",,7"
"USC00190120","AMHERST, MA US","2012-02-28","50",",,7","19",",,7"
"USC00190120","AMHERST, MA US","2012-02-29","46",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-03-01","36",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-03-02","34",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-03-03","33",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-03-04","39",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-03-05","42",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-03-06","34",",,7","12",",,7"
"USC00190120","AMHERST, MA US","2012-03-07","41",",,7","13",",,7"
"USC00190120","AMHERST, MA US","2012-03-08","58",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-03-09","69",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-03-10","45",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-03-11","41",",,7","25",",,7"
"USC00190120","AMHERST, MA US","2012-03-12","61",",,7","27",",,7"
"USC00190120","AMHERST, MA US","2012-03-13","70",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-03-14","70",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-03-15","63",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-03-16","50",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-03-17","46",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-03-18","57",",,7","37",",,7"
"USC00190120","AMHERST, MA US","2012-03-19","71",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-03-20","79",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-03-21","78",",,7","43",",,7"
"USC00190120","AMHERST, MA US","2012-03-22","75",",,7","49",",,7"
"USC00190120","AMHERST, MA US","2012-03-23","82",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-03-24","76",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-03-25","61",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-03-26","50",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-03-27","50",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-03-28","48",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-03-29","53",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-03-30","48",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-03-31","52",",,7","36",",,7"
"USC00190120","AMHERST, MA US","2012-04-01","49",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-04-02","50",",,7","34",",,7"
"USC00190120","AMHERST, MA US","2012-04-03","53",",,7","23",",,7"
"USC00190120","AMHERST, MA US","2012-04-04","58",",,7","27",",,7"
"USC00190120","AMHERST, MA US","2012-04-05","61",",,7","30",",,7"
"USC00190120","AMHERST, MA US","2012-04-06","49",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-04-07","53",",,7","24",",,7"
"USC00190120","AMHERST, MA US","2012-04-08","56",",,7","26",",,7"
"USC00190120","AMHERST, MA US","2012-04-09","58",",,7","39",",,7"
"USC00190120","AMHERST, MA US","2012-04-10","54",",,7","37",",,7"
"USC00190120","AMHERST, MA US","2012-04-11","60",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-04-12","56",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-04-13","59",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-04-14","64",",,7","31",",,7"
"USC00190120","AMHERST, MA US","2012-04-15","71",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-04-16","77",",,7","54",",,7"
"USC00190120","AMHERST, MA US","2012-04-17","90",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-04-18","76",",,7","43",",,7"
"USC00190120","AMHERST, MA US","2012-04-19","61",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-04-20","73",",,7","38",",,7"
"USC00190120","AMHERST, MA US","2012-04-21","76",",,7","45",",,7"
"USC00190120","AMHERST, MA US","2012-04-22","77",",,7","47",",,7"
"USC00190120","AMHERST, MA US","2012-04-23","50",",,7","42",",,7"
"USC00190120","AMHERST, MA US","2012-04-24","62",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-04-25","56",",,7","33",",,7"
"USC00190120","AMHERST, MA US","2012-04-26","57",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-04-27","60",",,7","32",",,7"
"USC00190120","AMHERST, MA US","2012-04-28","50",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-04-29","56",",,7","29",",,7"
"USC00190120","AMHERST, MA US","2012-04-30","58",",,7","28",",,7"
"USC00190120","AMHERST, MA US","2012-05-01","63",",,7",,
"USC00190120","AMHERST, MA US","2012-05-02","51",",,7","45",",,7"
"USC00190120","AMHERST, MA US","2012-05-03","55",",,7","46",",,7"
"USC00190120","AMHERST, MA US","2012-05-04","54",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-05-05","72",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-05-06","69",",,7","51",",,7"
"USC00190120","AMHERST, MA US","2012-05-07","70",",,7","43",",,7"
"USC00190120","AMHERST, MA US","2012-05-08","74",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-05-09","58",",,7","49",",,7"
"USC00190120","AMHERST, MA US","2012-05-10","65",",,7","53",",,7"
"USC00190120","AMHERST, MA US","2012-05-11","63",",,7","41",",,7"
"USC00190120","AMHERST, MA US","2012-05-12","66",",,7","35",",,7"
"USC00190120","AMHERST, MA US","2012-05-13","80",",,7","40",",,7"
"USC00190120","AMHERST, MA US","2012-05-14","82",",,7","52",",,7"
"USC00190120","AMHERST, MA US","2012-05-15","71",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-05-16","70",",,7","59",",,7"
"USC00190120","AMHERST, MA US","2012-05-17","74",",,7","44",",,7"
"USC00190120","AMHERST, MA US","2012-05-18","68",",,7","40",",,7"
"USC00190120","AMHERST, MA US","2012-05-19","75",",,7","43",",,7"
"USC00190120","AMHERST, MA US","2012-05-20","83",",,7","49",",,7"
"USC00190120","AMHERST, MA US","2012-05-21","86",",,7","48",",,7"
"USC00190120","AMHERST, MA US","2012-05-22","72",",,7","55",",,7"
"USC00190120","AMHERST, MA US","2012-05-23","71",",,7","58",",,7"
"USC00190120","AMHERST, MA US","2012-05-24","79",",,7","60",",,7"
"USC00190120","AMHERST, MA US","2012-05-25","77",",,7","62",",,7"
"USC00190120","AMHERST, MA US","2012-05-26","76",",,7","62",",,7"
"USC00190120","AMHERST, MA US","2012-05-27","83",",,7","54",",,7"
